,name,address,cuisine,lat,lon,image_url,rating,coordinates,square_i,square_j
103,Wahyu Brand,Wahyu Brand - International Road ,"[""Singaporean"", ""Snacks"", ""Spices"", ""Mart"", ""Islandwide Delivery""]",1.329134508168039,103.71115282501574,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2L3R64BE26UCA/hero/aea5643837cb4cfb842983e9ebf8aa1b_1616059042465500992.jpeg,4.2,"[1.329134508168039, 103.71115282501574]",3,3
104,The Ice Cream Store,The Ice Cream Store - Jalan Ahmad Ibrahim,"[""Ice Cream"", ""Mart""]",1.32356305,103.721826,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2NKCETTAULVDE/hero/75def56ed58f42caa515f2e0f2903da0_1618919911026667130.jpeg,5.0,"[1.32356305, 103.721826]",3,3
105,ON the GO,ON the GO - SAFRA Jurong,"[""Asian"", ""Halal"", ""Local"", ""Chicken""]",1.3351116,103.70668476441664,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD05599/hero/9cc5e3f329204032b71a0dbfad65ebe3_1574648784607707608.jpeg,3.6,"[1.3351116, 103.70668476441664]",3,3
106,Hen Tick Foods,Hen Tick Foods - Chin Bee Road ,"[""Convenience"", ""Seafood"", ""Mart"", ""Frozen Food"", ""Islandwide Delivery""]",1.332287719624227,103.711578242609,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JZGJ6WNXDGV6/hero/4eb73e43b16c4aa79d0227e3428d8336_1611671283461118851.jpeg,,"[1.332287719624227, 103.711578242609]",3,3
107,Jin Long Roasted Delights,Jin Long Roasted Delights - Taman Jurong Shopping Centre,"[""Chicken"", ""Convenience"", ""Local"", ""Singaporean""]",1.3349306360130129,103.72035008963228,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2LUTFNTAANEVE/hero/420e51e8208b4d40903d2040db9a4074_1615524482768259682.jpeg,4.2,"[1.3349306360130129, 103.72035008963228]",3,3
108,Subway,Subway - Jurong Superbowl,"[""Healthy"", ""Sandwiches"", ""Fast Food"", ""Halal"", ""Western""]",1.32576857,103.72491335,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYN2GYVKVA2XG2/hero/35a0a3fbf431420d8de86e4fcfde6b70_1576205991093878852.png,4.6,"[1.32576857, 103.72491335]",3,3
109,Pizza Hut,Pizza Hut - Jurong Super Bowl,"[""Pizza"", ""Halal"", ""Fast Food"", ""Western"", ""Pasta""]",1.3258383,103.72530166666664,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY3KMBVBV7T1RT/hero/65532a2ef46f4cd0b188bb9dd6e0004d_1591695166746718789.png,4.3,"[1.3258383, 103.72530166666664]",3,3
110,7Tea,7Tea - Taman Jurong Market & Food Centre [#03-142],"[""Bubble Tea"", ""Dessert"", ""Beverages""]",1.3345495025360332,103.72151823,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2AYHE33RUTFFA/hero/341db4546947423785e35b8885b9da46_1608538464555450744.jpeg,4.7,"[1.3345495025360332, 103.72151823]",3,3
111,Springleaf Prata,Springleaf Prata Place - Jurong SAFRA,"[""Indian"", ""Vegetarian"", ""Breakfast & Brunch"", ""Halal"", ""Vegan""]",1.3350931545788427,103.70644669359598,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD07281/hero/2523e239ad574a1f86a6b01528e7d252_1573400940624513909.png,4.3,"[1.3350931545788427, 103.70644669359598]",3,3
112,Unicuz Roasted Delights 宏缘美食馆 港式烧腊,Unicuz Roasted Delights 宏缘美食馆 港式烧腊 - Yuan Ching Road,"[""Asian"", ""Chinese"", ""Singaporean""]",1.3256208643487983,103.72551486666669,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2C1MCEKTLC2RA/hero/54c6c7b6579242329918eade3cd28b3c_1605758889895878248.jpg,4.2,"[1.3256208643487983, 103.72551486666669]",3,3
113,Hong Kong Street Cheng Ji,Hong Kong Street Cheng Ji - Taman Jurong Shopping Centre,"[""Chinese"", ""Local"", ""Seafood"", ""Singaporean""]",1.3349598,103.72020545,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2J1EGCCKAT3NJ/hero/ea96391d54ee40e3b4b3da3abe0c03a3_1611721842586820465.jpg,4.0,"[1.3349598, 103.72020545]",3,3
114,Curries By Kilo,Curries By Kilo - Par Building,"[""Asian"", ""Indian"", ""Local"", ""Vegetarian Friendly""]",1.3293,103.71114,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TYCY5BL22UJ6/hero/35bd24d325f84541beea1415bd9faa23_1622286590488391391.jpeg,,"[1.3293, 103.71114]",3,3
115,Kampong House Mini Wok,Kampong House Mini Wok - Yuan Ching Road,"[""Local""]",1.3256320499999998,103.7254927,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYNGPAEWV3WGWE/hero/75r-24bits-100kb-1942ce067bc15dac16aa3d77cf2efb13d8194e7eb295fb62ad562598fbcaf8a1-dbb59eeff76747b491926f41a4cb4549_1563958860262627394.jpeg,4.4,"[1.3256320499999998, 103.7254927]",3,3
116,158 Kitchen,158 Kitchen - Yung Loh Road,"[""Chinese"", ""Seafood"", ""Noodles""]",1.328482334104071,103.7223712,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY2VEKCZJAX3BE/hero/8d51315a013c4b6f97b92b69c23a174b_1571222459427035695.jpg,4.1,"[1.328482334104071, 103.7223712]",3,3
117,Teng Sheng Western Food,Teng Sheng Western Food - Jurong Leisure Complex,"[""Asian"", ""Western""]",1.3256166713177295,103.7254656,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD10684/hero/efec946550504c8bbc127f5508965232_1583143824387553717.jpg,4.2,"[1.3256166713177295, 103.7254656]",3,3
118,Shang Shang Quan,Shang Shang Quan - Taman Jurong Shopping Centre,"[""Chinese"", ""Asian""]",1.334986,103.71987697153976,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYMFLRLHA752VX/hero/b616fa46073f4085aa5a2a50c709620c_1562301155557722436.jpeg,3.8,"[1.334986, 103.71987697153976]",3,3
119,Salim Kitchen,Salim Kitchen - Yung Sheng Road,"[""Asian"", ""Noodles"", ""Satay"", ""Chicken Rice""]",1.334618466757142,103.7215298,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2DJAB6KMANTCX/hero/7520ce95cdf64f06ba171b09b0e33e5b_1606800789714021065.jpg,5.0,"[1.334618466757142, 103.7215298]",3,3
